metric,definition,analytics_value,dashboard_value,agent_value,difference,status
total_transactions,Total count of deduplicated transactions,"20,000","20,000","20,000",0,MATCH
gmv,Sum of valid clean signed amounts (INR),"239,232,643.30","239,232,643.30","239,232,643.30",0.00,MATCH
success_rate,Percentage of transactions with status=SUCCESS,85.27%,85.27%,85.27%,0.00%,MATCH
failed_rate,Percentage of transactions with status=FAILED,9.78%,9.78%,9.78%,0.00%,MATCH
pending_rate,Percentage of transactions with status=PENDING,3.86%,3.86%,3.86%,0.00%,MATCH
chargeback_count,Total count of deduplicated customer chargebacks,"2,800","2,800","2,800",0,MATCH
chargeback_amount,Total disputed chargeback exposure (INR),"6,790,449.54","6,790,449.54","6,790,449.54",0.00,MATCH
chargeback_rate,Dispute count to transaction volume ratio,14.00%,14.00%,14.00%,0.00%,MATCH
high_risk_users,Count of customer profiles with risk_level=HIGH,847,847,847,0,MATCH
high_risk_merchants,Count of merchants with risk_level=HIGH,352,352,352,0,MATCH
suspicious_networks,Count of potential collusion networks (40 Shared Settlement Hubs + 1 High-Risk Collusion Cluster),41,41,41,0,MATCH
