dataset,column_name,row_count,non_null_count,null_count,null_pct,unique_count,duplicate_count,data_type,min_value,max_value,mean_value,median_value,sample_variants
track1_upi_transactions.csv,txn_id,20400,20400,0,0.0,20000,400,str,1.00,20000.00,9993.82,9993.50,TXN00011869 | TXN00010383 | TXN00008297 | TXN00006448 | TXN00018792
track1_upi_transactions.csv,timestamp,20400,20400,0,0.0,19083,1317,str,20260101.00,31032026231146.00,10364298487799.34,8032026001724.00,2026-01-15 00:11:30 | 2026-01-17 20:09:44 | 2026-01-23 14:10:16 | 1770063471 | 2026-03-31 14:02:37
track1_upi_transactions.csv,user_id,20400,20400,0,0.0,17878,2522,str,10001.00,99998.00,54689.58,54588.00,USR45826 | USR79397 | USR87810 | USR54287 | USR53865
track1_upi_transactions.csv,merchant_id,20400,20400,0,0.0,8051,12349,str,1000.00,9999.00,5520.95,5553.50,MCH7045 | MCH5031 | MCH9809 | MCH6928 | MCH8121
track1_upi_transactions.csv,amount,20400,20400,0,0.0,19900,500,str,-24847.86,24998.12,11923.73,12202.63,15722.34 | Rs. 6362.9 | 15446.19 | 12110.49 | Rs. 19432.94
track1_upi_transactions.csv,utr,20400,19376,1024,5.02,19000,376,str,272409.00,9999648917.00,4987799389.45,4991204699.50,UTR6498104698 | UTR7656190355 | UTR9037001889 | UTR5257823698 | UTR4204272894
track1_upi_transactions.csv,mcc,20400,17474,2926,14.34,5,17469,float64,4131.00,7011.00,5616.33,5812.00,5411.0 | 4131.0 | 5812.0 | 5912.0 | 7011.0
track1_upi_transactions.csv,status,20400,20400,0,0.0,14,20386,str,COMPLETED,TXN_SUCCESS,N/A,N/A,COMPLETED | TXN_FAILED | S | TXN_SUCCESS | SUCCESS
track1_kyc_records.csv,user_id,36400,36400,0,0.0,32165,4235,str,-99981.00,99999.00,47084.00,51291.00,USR16112 | USR17216 | USR 45454 | USR46189 | USR85256
track1_kyc_records.csv,full_name,36400,36400,0,0.0,33921,2479,str,0.00,111.00,4.80,1.00,Dhriti Deshmukh | Megha Jani | PANINI LAL | Jack Parikh | Eta Ravi
track1_kyc_records.csv,pan,36400,34504,1896,5.21,33164,1340,str,0.00,1148690.00,5678.36,5091.50,SEJAA8194O | QT0ZZ5561X | QCNTL9489O | RRVUI4059Q | ygvoi9236w
track1_kyc_records.csv,aadhaar,36400,33736,2664,7.32,32093,1643,str,5138170.00,9997902715891.00,730115875366.17,493273017785.50,715658320763 | 023412025028 | 2781 6299 9816 | 0667 8032 7731 | 176258817110
track1_kyc_records.csv,date_of_birth,36400,33456,2944,8.09,29284,4172,str,-315359620.00,311219970817.00,36987203729.74,20041012.00,06/04/1967 12:14 AM | 1969-02-19 08:25:23 | 20/04/1961 | 05-Sep-1990 | 12-20-1962
