entity_id,entity_name,merchant_category,risk_score,risk_level,risk_factors,entity_type,kyc_status
MCH1126,"Nayak, Dhaliwal And Soman",Grocery Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7628,"Mander, Guha And Varty",Phone Service,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH1077,Mitter And Sons,Restaurant,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH8506,"Handa, Sahni And Sawhney",Telecom,25.0,LOW,Average transaction (11545) exceeds declared ticket (339) by 34.1x,MERCHANT,
MCH7362,Kothari Plc,Books,25.0,LOW,Average transaction (5488) exceeds declared ticket (478) by 11.5x,MERCHANT,
MCH1483,Mohan-Kari,Books,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9277,Pa1-R0Ut,Stationery,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH3388,"Chaudhary, Patel And Bhatti",Hotel,65.0,HIGH,Severe chargeback ratio (100.0%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH9306,Zachariah-Anne,Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1531,Savant And Sons,Hotel,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (7083) exceeds declared ticket (1020) by 6.9x,MERCHANT,
MCH7585,Rattan-Ratti,Clothing,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7074,Lalla-Iyengar,Pharmacies,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (13942) exceeds declared ticket (732) by 19.0x,MERCHANT,
MCH4777,Babu-Choudhry,Mobile Recharge,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5881,Baria-Keer,Transprt,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH9352,Ramanathan-Lala,Transport,25.0,LOW,Average transaction (8294) exceeds declared ticket (1121) by 7.4x,MERCHANT,
MCH3698,"Prashad, Viswanathan And Sama",Retail,25.0,LOW,Average transaction (17542) exceeds declared ticket (514) by 34.1x,MERCHANT,
MCH9919,"Ramaswamy,Pallandbahri",Pharmacy,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4774,Wadhwa Plc,Dept_Store,45.0,MEDIUM,Elevated chargeback ratio (20.0%); Average transaction (12300) exceeds declared ticket (375) by 32.8x,MERCHANT,
MCH6061,Anand-Savant,Grocery_Store,30.0,LOW,Elevated chargeback ratio (20.0%),MERCHANT,
MCH8283,Nagar Group,Mobile Recharge,25.0,LOW,Average transaction (14062) exceeds declared ticket (1032) by 13.6x,MERCHANT,
MCH7196,Kunda-Bakshi,Retail,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH2035,Hora-Grover,Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4716,Goda-Agate,Groceries,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH2179,Chanda-Sura,Fashion,25.0,LOW,Average transaction (8325) exceeds declared ticket (1281) by 6.5x,MERCHANT,
MCH1971,Khanna And Sons,Telecom,25.0,LOW,Average transaction (9492) exceeds declared ticket (2326) by 4.1x,MERCHANT,
MCH1840,Chahal And Sons,Stationery,25.0,LOW,Average transaction (7240) exceeds declared ticket (764) by 9.5x,MERCHANT,
MCH4336,"Dube, Baria And Nath",Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1118,"Basak, Pillai And Arora",Retail Other,25.0,LOW,Average transaction (15278) exceeds declared ticket (3933) by 3.9x,MERCHANT,
MCH9813,Menon Group,Retail Other,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH7219,Dhawan-Saha,Hotel_Lodging,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5905,Karnik Ltd,Restaurants,20.0,LOW,High frequency of missing UTRs (1/1),MERCHANT,
MCH5705,"Palan, Bhargava And Jaggi",Transport,55.0,MEDIUM,Severe chargeback ratio (100.0%); High frequency of missing UTRs (1/1),MERCHANT,
MCH2090,Upadhyay Plc,Eating Place,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6306,"Ramesh, Viswanathan And Kalita",Transport,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8574,Vohra Group,Medical_Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1168,"Seshadri, Borah And Sachdeva",Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8794,Mani-Zachariah,Grocery,65.0,HIGH,Severe chargeback ratio (100.0%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH9718,Raval And Sons,Eating Place,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2655,"Brahmbhatt, Desai And Sangha",Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2767,"Munshi, Kohli And Pai",Garments,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4857,Sethi-Soni,Bus/Taxi,60.0,HIGH,Severe chargeback ratio (66.7%); Average transaction (19870) exceeds declared ticket (279) by 71.3x,MERCHANT,
MCH9868,"Narain, Dada And Panchal",Telecom,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH3780,Hegde Group,Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3880,Sankaran-M0Dy,Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4776,Bobal-Dutta,Grocery Stores,25.0,LOW,Average transaction (14661) exceeds declared ticket (832) by 17.6x,MERCHANT,
MCH3362,Chander-Sangha,Groceries,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH6233,Vohra Ltd,Books,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH8945,"Sankar, Swamy And Char",Groceries,55.0,MEDIUM,Severe chargeback ratio (50.0%); High frequency of missing UTRs (1/2),MERCHANT,
MCH1710,"Tara, Dash And Pau",Pharmacies,25.0,LOW,Average transaction (14713) exceeds declared ticket (804) by 18.3x,MERCHANT,
MCH8673,Goswami And Sons,Restaurants,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
